"RESOURCE_Types(0. Texture, 1. Font, 2.SoundClip, 3. AnimationClip)",RESOURCE_PATH
0,sprites/UI/ModeSelect/SpringBreezeGuide.png
0,sprites/UI/ModeSelect/SpringBreeze.png
0,sprites/UI/ModeSelect/Logo.png
0,sprites/UI/ModeSelect/Board.png
0,sprites/UI/ModeSelect/Background.png
0,sprites/UI/ModeSelect/CaveOffensive.png
0,sprites/UI/ModeSelect/RevengeMeta.png
0,sprites/UI/ModeSelect/DynaBlade.png
0,sprites/UI/ModeSelect/Guide.png
0,sprites/UI/ModeSelect/MegatonPunch.png
0,sprites/UI/ModeSelect/SamuraiKirby.png
0,sprites/UI/ModeSelect/Sound.png
0,sprites/UI/ModeSelect/GourmetRace.png
0,sprites/UI/ModeSelect/MilkWayWishes.png
